week,Aeropuertos y vuelos,Ley y crimen,La pandemia del COVID-19 y su impacto,La industria petrolera,Economía,Tren Maya,Salud y medicina,Reformas políticas,Fronteras e inmigración,Energía y minería,COVID-19 y su vacunación,Problemas sociales y justicia penal,Deportes y turismo,Relaciones políticas entre México y Perú
2021-09-20,0.032485582,0.057898957,0.06549438,0.06376019,0.097873196,0.04597672,0.03987658,0.16129415,0.026859429,0.019630421,0.24752332,0.043518726,0.065510534,0.032297835
2021-09-27,0.03465586,0.033072475,0.060170446,0.08234709,0.060942397,0.038227897,0.02889057,0.1566048,0.039019536,0.06823902,0.23505491,0.043544088,0.08934685,0.029884048
2021-10-04,0.037155278,0.03828037,0.052922305,0.10621845,0.078979135,0.054424677,0.014943649,0.11783042,0.038244504,0.098081656,0.1840542,0.06950548,0.086447164,0.022912709
2021-10-11,0.03727385,0.03470546,0.048733026,0.08146642,0.060419865,0.065720126,0.026893564,0.10501325,0.03536987,0.102068946,0.28906912,0.044694368,0.041397493,0.027174646
2021-10-18,0.03761389,0.03317326,0.04123153,0.11178728,0.07795116,0.07457285,0.032356467,0.1380624,0.026416501,0.04025272,0.24180065,0.05029522,0.06949487,0.02499117
2021-10-25,0.04364894,0.019791985,0.04658548,0.06653886,0.086090244,0.10837432,0.039996285,0.13923892,0.020819865,0.029398238,0.27867144,0.037059836,0.062563986,0.021221643
2021-11-01,0.03553272,0.041827008,0.061394207,0.110485174,0.0936365,0.07208653,0.02971899,0.19983509,0.01809104,0.046391312,0.15281512,0.05711605,0.059778437,0.021291805
2021-11-08,0.034338053,0.041284993,0.06578007,0.09030376,0.09205933,0.047936924,0.029929485,0.117816254,0.036599964,0.037350323,0.27625868,0.044715893,0.052735034,0.032891218
2021-11-15,0.036075607,0.021446852,0.06112714,0.07050379,0.06248716,0.14029413,0.02807419,0.13506079,0.03712048,0.04010751,0.22316049,0.020396926,0.07222061,0.051924348
2021-11-22,0.029990483,0.030641241,0.041678082,0.094244786,0.08044052,0.05586543,0.03483575,0.11201801,0.02823448,0.10964327,0.2231897,0.08085045,0.038119722,0.04024804
2021-11-29,0.025885737,0.040399864,0.076120615,0.10781357,0.111358084,0.04076083,0.028320331,0.1003111,0.023905998,0.019509332,0.30585542,0.06266673,0.032538988,0.024553385
2021-12-06,0.029349878,0.028136363,0.07240041,0.07763465,0.07431578,0.049745545,0.024894087,0.16082756,0.026998373,0.029456684,0.27919057,0.05923707,0.074759655,0.01305336
2021-12-13,0.036086444,0.03154718,0.049902283,0.084893465,0.08624907,0.10955927,0.03861307,0.14506817,0.024202978,0.035108663,0.22194374,0.04321742,0.06582606,0.027782211
